number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_dropout2d,params_fc_mid,params_lr,params_optimizer_type,params_scheduler_type,params_weight_decay,state
117,41.18,2025-10-16 18:01:29.396325,2025-10-16 18:03:54.701652,0 days 00:02:25.305327,128,0.1776083872248177,0.2834801633288016,256,0.0006469882992519192,adamw,cosine,1.3793538294999961e-05,PRUNED
118,33.94,2025-10-16 18:03:54.703397,2025-10-16 18:05:43.922680,0 days 00:01:49.219283,128,0.3835453602984625,0.19207221298647795,192,0.00011922360487131031,adamw,cosine,0.00020706823374614554,PRUNED
119,37.58,2025-10-16 18:05:43.924585,2025-10-16 18:07:30.690394,0 days 00:01:46.765809,512,0.33281004320139834,0.167440182729583,256,0.0003127968669711356,adamw,cosine,0.00033668565957622445,PRUNED
120,23.21,2025-10-16 18:07:30.691778,2025-10-16 18:09:09.815411,0 days 00:01:39.123633,512,0.2797889728890216,0.33755738581638467,128,0.00011960257596289409,adamw,cosine,0.000581781481188685,PRUNED
121,43.16,2025-10-16 18:09:09.816869,2025-10-16 18:11:56.942397,0 days 00:02:47.125528,128,0.39125930618839533,0.12735102704077306,256,0.0001738760072269016,adamw,cosine,0.0005379314615833447,PRUNED
122,48.12,2025-10-16 18:11:56.943492,2025-10-16 18:21:02.739878,0 days 00:09:05.796386,128,0.3921067903559679,0.19824606055630015,256,0.00048537151063404786,adamw,cosine,7.569365965891241e-05,COMPLETE
123,36.05,2025-10-16 18:21:02.743706,2025-10-16 18:22:06.606434,0 days 00:01:03.862728,128,0.3592671302384237,0.2235234208424426,256,0.0006745905111326631,adamw,cosine,6.629609954345839e-05,PRUNED
124,46.63,2025-10-16 18:22:06.608749,2025-10-16 18:27:42.209205,0 days 00:05:35.600456,256,0.35169111328536634,0.1865208697690045,256,0.0006958718069773663,adamw,cosine,0.000390983992046251,PRUNED
125,25.99,2025-10-16 18:27:42.211929,2025-10-16 18:29:25.842576,0 days 00:01:43.630647,512,0.28611478764914056,0.3529284813999834,256,0.0001396608439274864,adamw,none,0.0005793392507049023,PRUNED
126,33.61,2025-10-16 18:29:25.844843,2025-10-16 18:31:12.038659,0 days 00:01:46.193816,256,0.36816138905470447,0.24394546182772986,192,0.0010927783407113224,adam,cosine,0.00041866531422279576,PRUNED
127,46.16,2025-10-16 18:31:12.040287,2025-10-16 18:35:25.465960,0 days 00:04:13.425673,256,0.24248783354068335,0.16619706542186777,256,0.0005905402635410221,adamw,cosine,0.00013211611340466955,PRUNED
